Date of Birth;Gender;Marital Status;Number of Dependents;Occupation;Income;Education Level;Customer Tenure;Customer Segment;Preferred Communication Channel;Credit Score;Credit History Length;Outstanding Loans;Churn Flag;Churn Reason;Churn Date;Balance;NumOfProducts;NumComplaints
1987/02/12;Female;Single;0;Engineer, maintenance;99532.09;Bachelor's;23;SME;Email;434;16;49486.81;0;;;139005.69;1;10
1959/05/09;Male;Single;4;Government social research officer;61976.98;Diploma;16;SME;Phone;414;18;48220.7;1;Service Issues;2024/07/21;42561.12;3;9
1976/02/19;Male;Divorced;2;Investment banker, corporate;24213.83;High School;25;Retail;Phone;711;10;39880.86;0;;;150559.3;3;4
1954/02/16;Male;Single;4;Environmental consultant;70663.61;Master's;20;Corporate;Email;539;18;13764.97;0;;;126133.32;2;9
1994/05/09;Male;Divorced;5;Commercial horticulturist;53068.03;Diploma;29;Retail;Phone;694;7;36852.66;0;;;244901.93;4;3
1954/05/26;Male;Divorced;1;Ranger/warden;70175.94;High School;29;SME;Email;372;3;12705.56;0;;;212463.87;4;2
2002/05/29;Male;Single;3;Scientist, research (life sciences);8232.2;High School;22;SME;Email;471;9;24072.35;1;Better Offers Elsewhere;2024/02/10;6642.47;3;7
1990/08/23;Female;Married;1;Commercial art gallery manager;59507.81;Diploma;17;Retail;Phone;716;25;6904.15;0;;;29169.25;5;6
1969/10/30;Male;Single;2;Engineer, broadcasting (operations);74460.72;High School;11;SME;Phone;744;22;29191.63;0;;;177648.78;5;4
1967/07/01;Male;Single;5;Research scientist (life sciences);51074.41;Diploma;2;SME;Phone;702;5;43363.23;0;;;91658.6;4;5
1973/07/23;Female;Single;2;Commissioning editor;79238.26;Diploma;7;Retail;Phone;425;13;9179.32;0;;;155284.07;5;5
1976/11/24;Male;Married;5;Engineer, site;56673.34;Master's;16;Retail;Email;690;17;23587.8;0;;;34931.01;5;7
1960/08/08;Female;Single;5;Animal nutritionist;91538.35;High School;8;Corporate;Phone;406;26;25453.48;0;;;75660.11;4;7
1996/05/07;Male;Divorced;2;Environmental manager;28829.96;High School;2;Retail;Email;369;23;1688.84;1;Better Offers Elsewhere;2024/03/09;7808.8;1;1
1971/06/12;Male;Single;2;Administrator;24570.25;Bachelor's;21;Corporate;Phone;434;26;44941.79;0;;;50572.47;5;5
1973/07/08;Male;Divorced;5;Best boy;48791.3;Master's;16;SME;Email;379;21;44066.72;0;;;199709.83;5;6
1987/01/25;Male;Married;2;Cytogeneticist;61035.89;Master's;7;Corporate;Email;574;21;10554.54;0;;;93052.58;4;3
1955/08/08;Male;Divorced;3;Music tutor;29709.77;Bachelor's;28;Corporate;Phone;327;5;49918.01;0;;;166242.64;4;10
1952/08/14;Male;Married;1;Surveyor, commercial/residential;48017.4;Master's;7;Corporate;Email;839;21;8142.1;0;;;76681.32;3;1
1973/05/24;Female;Divorced;5;Sports administrator;61664.28;High School;26;Retail;Email;492;6;41386.94;0;;;187500.95;2;3
1978/10/23;Male;Divorced;2;Designer, ceramics/pottery;40572.42;Master's;17;Corporate;Email;411;11;44701.65;1;Better Offers Elsewhere;2024/05/29;3078.84;1;7
1952/02/21;Male;Married;2;Visual merchandiser;13537.25;Diploma;26;SME;Email;420;7;25813.74;0;;;156932.85;3;4
1958/07/02;Male;Single;1;Geochemist;97545.41;Master's;24;Corporate;Email;749;7;42781.21;0;;;115341.27;4;10
1963/08/27;Female;Single;2;Curator;10780.9;High School;5;Corporate;Email;751;7;20087.12;0;;;118342.96;1;9
1949/11/28;Female;Divorced;5;Media planner;13234.42;Bachelor's;5;Retail;Email;620;16;38237.43;0;;;114000.64;1;0
2000/05/07;Male;Married;0;Public relations account executive;81242.96;Master's;3;Corporate;Phone;614;28;10097.78;0;;;240291.12;5;3
1999/12/13;Female;Single;4;Advertising account executive;96841.55;Bachelor's;14;Corporate;Phone;485;20;41163.18;0;;;170670.28;4;3
1994/05/15;Female;Divorced;3;Theme park manager;17929.27;Master's;16;Corporate;Phone;317;28;29623.75;0;;;236826.37;1;10
1974/07/08;Male;Married;5;General practice doctor;39604.02;Master's;23;Retail;Email;306;7;44560.84;0;;;136226.51;2;9
1979/12/11;Male;Married;5;Careers adviser;83218.36;High School;27;Retail;Email;484;21;23155.74;0;;;177551.71;1;2
1962/08/17;Male;Single;1;Furniture designer;67869.84;Master's;21;Corporate;Phone;408;24;9526.68;0;;;87513.24;5;5
1987/11/28;Female;Single;5;Transport planner;37011.94;Bachelor's;7;SME;Email;559;25;38054.58;0;;;172815.02;2;4
1979/09/21;Female;Divorced;5;Statistician;30179.92;Bachelor's;21;Retail;Phone;312;20;48904.01;0;;;182848.79;3;1
1988/08/02;Male;Single;5;Research scientist (maths);70033.6;Diploma;14;SME;Email;672;14;18184.3;0;;;18701.33;5;7
1967/10/25;Male;Divorced;4;Herpetologist;62018.15;Master's;6;SME;Phone;580;15;46238.61;0;;;22933.22;5;1
1995/10/03;Female;Married;4;Biomedical engineer;15516.49;Diploma;26;SME;Phone;401;27;18626.86;0;;;223869.25;2;7
1977/11/17;Female;Divorced;1;Runner, broadcasting/film/video;40025.44;Master's;15;SME;Email;300;29;25541.85;0;;;178890.76;3;8
1990/11/04;Female;Single;2;Nurse, children's;99902.09;High School;17;Retail;Email;461;4;38064.65;0;;;72857.09;1;6
1951/12/01;Male;Married;1;Media buyer;70946.89;Bachelor's;30;SME;Phone;634;11;44550.53;0;;;141376.18;5;0
1970/12/31;Male;Married;1;Psychiatric nurse;90235.78;Diploma;7;SME;Email;596;11;43623.04;0;;;230518.8;3;9
1992/04/19;Male;Married;0;Systems developer;72082.58;Bachelor's;20;Retail;Email;698;19;8391.4;0;;;106216.14;3;7
1991/09/07;Female;Single;4;Emergency planning/management officer;18778.35;Diploma;28;SME;Email;465;4;34717.98;1;Relocation;2024/01/27;3063.8;4;4
1994/01/19;Female;Single;0;Physiotherapist;71310.13;Master's;5;Corporate;Phone;469;28;40905.6;1;Account Closure;2024/07/12;18019.6;3;5
1973/07/16;Male;Married;1;Financial planner;28594.41;Master's;13;SME;Email;517;22;12050.82;0;;;217313.1;3;6
1983/09/03;Female;Married;1;Building surveyor;73935.0;Bachelor's;25;SME;Phone;836;11;45622.24;0;;;140085.21;2;3
1952/12/22;Female;Divorced;5;Volunteer coordinator;16808.7;Bachelor's;20;Corporate;Email;802;5;38564.17;0;;;233457.26;4;9
1978/07/23;Female;Married;3;Phytotherapist;88832.79;Master's;20;Retail;Phone;330;10;17932.53;0;;;72098.13;4;9
1992/01/22;Male;Single;1;Health visitor;77209.86;Bachelor's;12;Retail;Phone;676;19;19058.75;0;;;97590.27;3;7
1973/01/25;Female;Married;5;Geoscientist;11056.73;High School;8;Corporate;Email;547;9;18240.66;0;;;126732.35;3;0
1968/11/12;Male;Single;1;Hydrogeologist;58814.63;Master's;19;SME;Email;819;15;18899.11;0;;;38532.44;2;4
1960/09/20;Male;Divorced;2;Equality and diversity officer;13156.81;Bachelor's;4;Corporate;Phone;420;5;35925.23;0;;;156538.66;3;8
1967/09/23;Female;Divorced;3;Teacher, English as a foreign language;83874.88;High School;30;Corporate;Phone;748;26;30089.94;0;;;27550.94;4;7
1974/03/31;Male;Single;5;Teacher, early years/pre;28660.64;Master's;25;SME;Phone;331;22;35096.17;1;Service Issues;2024/05/24;23734.31;1;7
1980/02/09;Female;Divorced;1;Child psychotherapist;91340.77;Diploma;20;SME;Phone;597;25;46210.55;0;;;214033.13;4;2
1966/05/14;Male;Married;5;Psychologist, sport and exercise;22841.69;High School;7;SME;Phone;648;26;1144.36;0;;;181466.2;1;1
1969/07/22;Male;Divorced;1;Office manager;25899.03;Master's;4;SME;Phone;534;14;12225.82;0;;;88093.36;5;8
1955/01/10;Female;Divorced;5;Designer, textile;21457.7;Bachelor's;22;SME;Email;808;15;27045.2;0;;;176116.09;4;3
1963/06/13;Male;Divorced;5;Administrator, sports;95799.19;High School;26;Retail;Phone;810;10;8960.54;0;;;29198.32;4;8
1988/09/30;Female;Married;4;Ecologist;52348.17;High School;28;SME;Phone;688;22;35724.39;0;;;85761.06;1;0
1965/02/15;Female;Single;4;Physicist, medical;51183.64;High School;21;Retail;Phone;416;18;8104.54;0;;;24933.96;5;2
1980/07/13;Male;Single;1;Public relations account executive;28811.42;Master's;12;Corporate;Phone;564;14;29143.28;0;;;186766.13;2;10
2002/05/11;Female;Married;5;Surveyor, planning and development;5139.61;Master's;8;Corporate;Email;775;16;9806.76;0;;;232991.01;4;10
1956/05/27;Female;Single;4;Customer service manager;95453.32;Diploma;14;Corporate;Email;741;25;29182.36;0;;;46123.2;4;9
2002/02/28;Female;Divorced;2;Geophysical data processor;69647.14;High School;29;Retail;Phone;655;19;49458.06;0;;;203759.34;1;6
1959/08/15;Male;Single;3;Designer, exhibition/display;61204.63;Diploma;4;Retail;Phone;689;30;3340.48;0;;;224881.93;3;8
2006/07/16;Female;Single;1;Scientist, physiological;97522.52;Master's;24;Retail;Email;507;24;11816.22;0;;;166600.17;5;3
1973/04/18;Male;Single;0;Fisheries officer;36533.08;Bachelor's;9;Retail;Phone;746;29;3600.59;0;;;38731.4;4;7
2000/11/11;Male;Single;3;Barista;45415.28;Diploma;6;Corporate;Email;549;8;27347.23;0;;;232659.71;2;2
2005/10/06;Female;Single;3;Research scientist (life sciences);75958.23;Diploma;24;SME;Email;698;11;30089.38;0;;;71429.83;4;9
1955/06/24;Female;Divorced;3;Administrator, arts;61999.96;High School;15;Retail;Phone;622;4;44760.64;0;;;93524.88;3;6
1980/04/06;Female;Divorced;3;Records manager;33711.14;Diploma;27;Retail;Email;773;20;44969.48;0;;;65737.11;4;9
1982/08/21;Male;Married;0;Surveyor, building control;10604.26;Master's;19;SME;Email;461;24;5502.44;0;;;109991.71;1;3
1999/04/18;Female;Divorced;4;Technical author;47929.15;Bachelor's;4;SME;Phone;605;10;29998.39;0;;;184260.88;2;9
1991/12/08;Male;Single;3;Paramedic;19062.1;Bachelor's;8;Corporate;Phone;323;14;2664.64;0;;;43275.29;4;0
1997/04/18;Male;Divorced;4;Education officer, community;25191.01;High School;1;Corporate;Email;655;10;49878.74;0;;;82594.05;5;4
1995/09/26;Male;Single;0;Seismic interpreter;57684.75;Bachelor's;13;Corporate;Phone;744;10;9379.78;0;;;68984.13;3;3
1956/10/31;Male;Single;2;Control and instrumentation engineer;37679.1;Diploma;22;Corporate;Email;653;24;22958.32;0;;;148086.4;3;3
1976/12/14;Male;Divorced;4;Equities trader;39601.17;Master's;17;Retail;Email;515;29;22639.52;0;;;214125.5;2;5
2000/12/09;Male;Single;1;Hospital pharmacist;97462.9;High School;20;Retail;Phone;610;20;46750.91;0;;;233972.69;2;8
1992/10/11;Male;Married;4;Manufacturing engineer;46840.21;Diploma;27;Corporate;Email;331;7;49214.41;0;;;108161.72;3;0
1976/06/23;Male;Single;3;Oncologist;25056.51;High School;21;Retail;Phone;737;29;26305.93;0;;;232205.14;4;10
1983/08/30;Male;Single;0;Community development worker;9159.44;Master's;21;Retail;Email;626;17;21195.11;0;;;176804.31;1;4
1967/01/14;Male;Divorced;2;Astronomer;93493.97;Master's;21;Retail;Email;589;28;35861.85;0;;;159159.29;4;2
1980/01/17;Male;Married;1;Electronics engineer;97231.82;Diploma;22;Retail;Phone;831;20;30294.32;0;;;113155.82;1;1
1982/05/01;Female;Divorced;0;Osteopath;81639.44;Bachelor's;19;Corporate;Phone;494;14;26628.41;1;Better Offers Elsewhere;2024/07/28;41021.98;1;10
1984/11/11;Male;Divorced;0;Presenter, broadcasting;60124.82;Master's;10;Corporate;Email;424;8;33778.65;0;;;179991.31;5;1
1969/04/25;Female;Divorced;0;Clinical embryologist;74929.83;High School;22;Corporate;Phone;354;19;43567.51;0;;;130185.62;2;8
1963/09/17;Male;Divorced;2;Engineer, mining;54586.72;Master's;30;Corporate;Phone;300;15;11687.75;0;;;201766.49;1;7
1991/10/16;Male;Divorced;5;Games developer;42771.02;High School;2;SME;Phone;316;15;47116.57;0;;;19047.88;5;2
1989/03/17;Male;Single;3;Engineer, communications;59689.54;Master's;5;Retail;Email;771;13;21976.75;0;;;172240.23;4;7
2001/10/09;Male;Married;3;Corporate investment banker;86926.26;Master's;19;Corporate;Email;356;28;24826.4;0;;;135958.24;3;8
1973/04/03;Male;Married;4;Site engineer;87026.81;Master's;26;Retail;Phone;771;8;32994.13;0;;;76330.51;2;0
1989/01/09;Male;Married;0;Armed forces technical officer;98475.25;Master's;10;SME;Phone;549;16;35804.37;0;;;175323.94;5;0
1956/11/19;Female;Divorced;4;Community development worker;7317.67;Diploma;2;SME;Email;495;10;23122.92;0;;;78840.07;5;4
1965/09/16;Male;Divorced;5;Magazine features editor;72957.77;Master's;17;Corporate;Phone;677;19;29433.31;0;;;233742.06;1;6
1976/07/21;Female;Single;2;Cartographer;18816.0;High School;8;SME;Email;621;30;23456.43;0;;;116369.01;4;2
1987/07/28;Female;Single;1;Animator;55943.02;Bachelor's;22;Retail;Email;415;29;19975.74;0;;;118335.24;2;8
1960/10/30;Female;Married;2;Ergonomist;6671.31;Bachelor's;4;Retail;Phone;676;30;1057.64;0;;;226345.36;2;7
1996/09/15;Male;Married;4;Sports therapist;53719.45;High School;29;Retail;Phone;689;9;20326.23;0;;;220346.42;2;1
1975/05/13;Female;Single;1;Engineer, automotive;54711.45;Diploma;9;Retail;Phone;576;12;48494.43;0;;;135462.98;1;10
1994/07/04;Female;Divorced;4;Quarry manager;34063.57;Bachelor's;5;Corporate;Email;333;27;2468.82;0;;;186620.15;3;3
2003/04/19;Female;Single;4;Herbalist;77643.85;Diploma;4;Retail;Email;627;10;28260.96;0;;;245195.96;2;10
1974/06/06;Female;Single;3;Education officer, community;35761.43;High School;20;SME;Email;445;9;41444.5;0;;;246541.83;2;7
1987/02/09;Male;Married;3;Emergency planning/management officer;18987.62;Diploma;1;Corporate;Phone;543;3;37528.2;0;;;236222.86;3;8
1986/12/21;Male;Married;5;Education administrator;86037.94;High School;7;SME;Phone;625;15;43069.96;0;;;132590.34;4;6
1965/08/23;Male;Married;0;Industrial buyer;59352.39;Bachelor's;2;SME;Email;631;2;39489.06;0;;;2695.17;3;0
1963/11/23;Male;Divorced;4;Licensed conveyancer;51175.53;High School;5;Retail;Email;594;13;3835.5;0;;;195533.29;3;2
1964/07/27;Male;Married;3;Sales promotion account executive;75744.16;Master's;21;Retail;Phone;325;8;14605.92;1;Service Issues;2024/04/22;55616.91;3;9
2003/07/16;Female;Single;5;Midwife;31767.22;Master's;25;Corporate;Email;769;9;44310.82;0;;;171592.73;5;8
1949/06/02;Female;Married;0;Television camera operator;44441.01;Diploma;24;Corporate;Phone;564;15;33201.83;0;;;205911.97;1;0
1976/02/17;Female;Married;5;Company secretary;9429.5;Master's;23;SME;Email;606;24;3121.19;0;;;172598.62;3;5
2005/06/18;Female;Married;0;Architect;46204.21;Bachelor's;24;SME;Email;445;19;30720.96;1;Relocation;2024/02/22;12224.94;2;1
1985/10/01;Male;Single;2;Actuary;36992.99;Diploma;4;Retail;Phone;599;9;34388.95;0;;;247566.49;2;6
1981/08/15;Female;Divorced;5;Engineer, water;73186.15;Master's;20;Corporate;Email;352;22;3340.02;0;;;236229.05;1;0
1958/04/16;Female;Married;2;Management consultant;54242.5;Diploma;6;Corporate;Email;512;15;10340.69;0;;;138859.56;5;4
1990/06/25;Female;Divorced;2;Magazine features editor;44522.39;High School;22;SME;Phone;651;6;1050.09;0;;;8920.2;4;1
1950/03/23;Male;Divorced;4;Biomedical scientist;88507.5;Diploma;22;Retail;Email;456;24;38769.33;0;;;95945.96;2;8
1954/05/20;Female;Married;0;Holiday representative;42705.7;Bachelor's;11;Corporate;Email;533;11;16172.56;0;;;102730.05;4;9
1963/07/01;Male;Divorced;1;Ship broker;21590.64;Bachelor's;14;Corporate;Phone;634;2;27840.39;0;;;83778.23;3;5
2005/10/20;Male;Married;3;Emergency planning/management officer;18536.37;Bachelor's;18;SME;Phone;542;6;40500.57;0;;;15966.45;4;0
1984/04/11;Male;Divorced;0;Administrator;53319.6;High School;11;Retail;Phone;424;21;32426.71;0;;;35886.55;5;0
1954/05/24;Male;Divorced;5;Engineer, manufacturing;74190.47;Bachelor's;21;Retail;Email;662;30;1897.51;0;;;230418.34;4;8
1998/05/12;Female;Married;1;Engineer, drilling;19472.8;High School;22;Corporate;Email;608;17;10077.7;0;;;145476.82;3;2
1972/08/05;Male;Single;1;Restaurant manager;71320.46;Diploma;22;Corporate;Email;614;23;34650.0;0;;;231213.61;2;7
1954/08/07;Female;Single;1;Health service manager;72313.33;Master's;13;Retail;Phone;429;19;7325.16;0;;;224146.72;5;10
1952/07/09;Male;Single;5;Scientist, water quality;8025.78;High School;2;Corporate;Email;847;26;6443.18;1;Account Closure;2024/07/17;49032.92;1;10
1998/06/08;Female;Single;3;Event organiser;35855.1;Bachelor's;6;SME;Email;831;11;22903.33;0;;;84660.22;4;7
2004/06/22;Male;Divorced;3;Freight forwarder;98715.97;High School;4;Corporate;Email;357;1;29809.11;0;;;238866.71;3;7
1971/07/28;Male;Married;5;Meteorologist;17676.86;Diploma;28;Corporate;Email;516;27;35176.38;0;;;169437.02;3;6
1993/12/20;Male;Single;0;Financial risk analyst;19815.8;Bachelor's;25;Corporate;Phone;351;8;46690.06;0;;;104152.02;1;3
1949/12/20;Female;Divorced;1;Water engineer;36162.96;Diploma;15;SME;Email;512;11;31716.32;1;Service Issues;2024/04/27;60985.66;1;10
1961/03/17;Male;Single;0;Civil engineer, contracting;32725.27;Master's;20;Retail;Phone;523;9;24344.64;0;;;227616.71;5;7
2005/10/14;Female;Single;2;Engineer, land;44967.29;Diploma;11;Retail;Phone;433;17;8517.31;0;;;218448.98;4;6
1980/04/14;Female;Single;3;Administrator, Civil Service;54683.32;Diploma;13;SME;Email;452;18;25297.67;0;;;211289.57;3;4
1979/11/01;Female;Divorced;2;Theme park manager;20762.42;Master's;23;Retail;Email;442;9;16864.23;0;;;239270.66;4;5
1952/11/22;Female;Divorced;1;Textile designer;16265.26;Diploma;20;SME;Email;720;14;26016.6;0;;;151361.12;3;0
1952/01/25;Female;Married;3;Environmental education officer;11660.78;High School;5;Corporate;Email;411;11;44069.18;0;;;74561.22;2;3
1990/06/30;Female;Married;4;Scientist, research (medical);94996.02;Bachelor's;8;SME;Email;335;3;1660.62;0;;;70673.63;5;2
1965/08/21;Male;Divorced;3;Government social research officer;88045.54;High School;19;SME;Phone;822;8;8295.59;0;;;203700.63;1;3
1962/09/02;Female;Divorced;0;Arboriculturist;78251.94;Diploma;30;SME;Phone;723;30;29011.83;0;;;107178.31;2;8
2000/05/02;Female;Single;2;Field trials officer;40625.42;Bachelor's;10;SME;Email;540;8;36554.56;0;;;190987.41;2;0
1953/06/30;Female;Divorced;2;Engineer, maintenance (IT);56051.1;Diploma;17;Corporate;Phone;679;19;27419.81;0;;;237815.37;1;5
1997/06/20;Female;Married;1;Sport and exercise psychologist;87298.73;High School;19;Corporate;Phone;334;11;19879.86;0;;;138564.52;2;4
1952/05/19;Male;Married;5;Chemical engineer;48081.51;Master's;3;Corporate;Phone;315;2;23232.83;1;Service Issues;2024/02/28;29746.29;3;4
1989/09/15;Female;Divorced;2;Herpetologist;88130.06;Master's;29;Retail;Email;674;12;11470.54;0;;;230966.28;5;8
2003/04/29;Male;Single;3;Senior tax professional/tax inspector;46349.28;Master's;23;Retail;Phone;767;16;4265.49;0;;;76459.02;1;0
1975/01/27;Female;Married;3;Museum/gallery curator;95505.35;Bachelor's;30;Retail;Email;393;14;2460.82;0;;;138360.18;2;0
1983/08/05;Male;Married;3;Diplomatic Services operational officer;56837.1;Diploma;12;SME;Phone;614;26;39530.94;0;;;26338.35;3;2
1997/06/03;Female;Single;1;Engineer, electronics;14082.61;High School;8;Corporate;Phone;819;19;19284.65;0;;;176190.34;3;3
1965/12/14;Male;Divorced;3;Multimedia programmer;69944.71;Diploma;18;Corporate;Phone;798;28;15602.35;0;;;98072.8;3;1
1974/07/14;Male;Single;0;Conservation officer, nature;64496.25;Bachelor's;7;Retail;Phone;685;7;3879.08;0;;;108701.72;3;5
2004/01/15;Male;Single;5;Seismic interpreter;47253.84;Diploma;24;Corporate;Email;731;1;28701.85;1;Service Issues;2024/04/06;15098.0;1;3
2006/03/01;Female;Single;4;Medical technical officer;52132.45;Master's;27;SME;Phone;513;23;6535.04;0;;;201744.8;2;7
1987/12/09;Female;Divorced;0;Commercial horticulturist;96754.88;Diploma;24;Retail;Phone;390;6;6728.62;1;Relocation;2024/01/03;33838.87;1;6
1999/12/18;Male;Divorced;1;Hotel manager;86856.59;Bachelor's;12;Corporate;Phone;655;11;40123.95;0;;;10349.86;4;2
1968/08/22;Male;Single;4;Librarian, academic;63325.67;Bachelor's;10;Retail;Phone;502;18;47686.08;0;;;146672.17;1;3
1996/03/23;Male;Married;4;Programmer, multimedia;17041.06;Diploma;14;Corporate;Phone;760;7;13334.43;0;;;63153.32;5;1
1969/02/09;Female;Divorced;5;Exhibition designer;68984.16;High School;9;Retail;Email;744;12;26885.53;0;;;48249.07;1;1
1998/02/17;Male;Single;0;Ergonomist;38917.39;Bachelor's;9;Corporate;Phone;431;1;42583.6;0;;;105853.84;5;1
1986/08/19;Female;Divorced;2;Agricultural engineer;44625.27;High School;27;Retail;Phone;545;3;5574.81;0;;;31562.94;4;1
1964/01/18;Male;Single;2;Office manager;85394.35;Master's;23;SME;Phone;519;17;11505.09;0;;;77301.5;1;0
1957/04/01;Male;Single;4;Conservation officer, nature;71161.3;High School;6;SME;Phone;823;8;9700.84;1;Relocation;2024/02/27;28851.44;3;10
1964/06/17;Female;Divorced;3;Museum/gallery conservator;37848.95;Bachelor's;13;Retail;Phone;382;20;37196.64;0;;;155916.0;4;9
1998/04/26;Female;Divorced;4;Interior and spatial designer;66013.27;High School;6;SME;Email;754;20;18575.27;0;;;142395.51;5;9
1963/01/05;Female;Divorced;5;Gaffer;52390.64;Master's;24;Retail;Phone;670;15;49308.48;1;Service Issues;2024/03/27;22229.06;2;8
1966/01/27;Male;Married;3;Consulting civil engineer;10419.44;Diploma;30;SME;Phone;424;22;17515.34;1;Relocation;2024/06/21;14361.65;3;10
1999/08/30;Male;Divorced;2;Programmer, systems;86679.43;High School;24;SME;Email;655;22;47054.63;0;;;203297.53;5;7
1952/03/16;Male;Single;0;Financial controller;64464.53;High School;21;Retail;Phone;815;27;4302.08;0;;;49076.7;2;7
1960/04/01;Male;Divorced;5;Pilot, airline;86719.71;Bachelor's;2;Corporate;Phone;460;13;40877.55;0;;;130308.96;5;9
1985/04/18;Male;Married;4;Psychologist, clinical;94554.16;Master's;15;Retail;Email;549;19;13017.95;0;;;83290.14;3;7
2006/05/16;Male;Divorced;2;Hydrogeologist;65967.53;Diploma;8;Corporate;Phone;611;4;38447.66;0;;;58888.05;4;7
1965/03/27;Male;Divorced;2;Community arts worker;60729.17;High School;22;SME;Phone;400;23;41548.9;0;;;177019.09;1;4
1953/02/18;Male;Married;4;Conference centre manager;16082.07;Master's;18;Retail;Phone;459;1;29450.12;1;Better Offers Elsewhere;2024/04/03;41996.75;4;8
1951/09/22;Male;Divorced;0;Immigration officer;92548.92;High School;4;Retail;Email;473;14;5253.66;0;;;213391.25;2;7
1982/10/15;Female;Married;5;Restaurant manager, fast food;12097.13;Master's;14;Retail;Email;523;26;3729.87;0;;;112952.52;5;7
1975/04/26;Female;Married;0;Psychologist, clinical;6857.89;Master's;30;SME;Email;614;27;15679.11;1;Account Closure;2024/04/17;19657.59;2;3
1949/10/21;Male;Divorced;3;Administrator, sports;16673.15;Bachelor's;27;SME;Phone;353;6;20288.74;0;;;169470.31;2;1
1985/07/21;Female;Married;2;Environmental manager;87448.84;Bachelor's;25;SME;Phone;689;12;28722.88;0;;;203473.56;5;2
1977/11/28;Male;Married;0;Theme park manager;86765.96;Master's;22;Retail;Email;716;28;45912.06;0;;;167564.51;4;0
1994/08/07;Female;Married;4;Fine artist;12617.78;Diploma;6;Retail;Phone;808;4;49043.21;0;;;109418.57;2;3
1968/12/15;Female;Divorced;4;Food technologist;34843.34;Master's;25;SME;Phone;308;3;15980.37;0;;;104226.06;2;8
1957/11/16;Male;Single;2;Patent attorney;43203.44;Master's;10;Corporate;Email;460;24;5976.33;0;;;110293.7;5;1
1960/03/23;Female;Married;0;Communications engineer;58885.3;Bachelor's;26;SME;Phone;328;22;46127.74;0;;;164539.39;2;6
1953/02/14;Male;Divorced;5;Barrister;94948.9;Master's;26;Corporate;Email;604;27;28084.25;0;;;117665.97;4;3
1971/08/13;Female;Married;1;Counsellor;55471.42;Bachelor's;30;Retail;Email;691;16;22927.53;0;;;75975.81;1;2
1991/08/29;Female;Married;3;Conservator, furniture;29283.99;Bachelor's;12;Retail;Phone;631;9;7516.64;0;;;221327.05;3;10
2004/10/05;Female;Married;3;Merchandiser, retail;62875.92;Bachelor's;17;Retail;Email;817;6;11100.67;0;;;50718.05;1;4
1982/09/10;Male;Single;4;Tour manager;60730.66;High School;5;Corporate;Email;470;9;8683.02;0;;;179913.76;4;2
1971/03/20;Male;Divorced;0;Occupational hygienist;88848.94;High School;30;SME;Phone;602;30;17457.25;0;;;129906.1;5;10
1977/02/09;Male;Married;3;Television/film/video producer;76224.09;Master's;3;SME;Phone;424;25;1571.68;0;;;154008.24;2;3
1996/03/31;Male;Divorced;2;Conference centre manager;11724.01;Diploma;8;Corporate;Phone;453;6;7815.23;0;;;138704.04;3;5
1996/12/07;Male;Divorced;2;Civil Service fast streamer;28529.95;Diploma;28;SME;Email;603;11;49980.88;0;;;160927.69;5;2
1968/09/15;Male;Divorced;1;Comptroller;7626.49;Bachelor's;1;Retail;Email;619;20;30484.95;0;;;137195.11;1;3
2000/10/23;Male;Divorced;5;Occupational hygienist;44461.33;High School;10;SME;Email;581;26;42261.01;0;;;246200.47;5;7
2004/10/17;Female;Married;0;Biochemist, clinical;95424.68;Master's;7;SME;Email;627;21;49417.67;0;;;42615.68;3;1
1965/05/28;Male;Divorced;0;Commercial horticulturist;40480.75;Diploma;3;Corporate;Email;833;12;31897.1;0;;;37132.4;2;8
1951/10/10;Female;Married;3;Aeronautical engineer;27168.43;Diploma;20;SME;Email;754;12;21497.13;0;;;146623.55;5;5
1982/03/06;Male;Divorced;4;Information systems manager;94837.19;Bachelor's;30;Corporate;Phone;514;18;13884.1;0;;;179581.3;5;6
2003/02/20;Male;Married;0;Gaffer;93497.29;Bachelor's;21;SME;Phone;413;26;30153.99;0;;;79961.72;5;7
1982/06/18;Male;Single;4;Dramatherapist;62515.23;High School;2;SME;Phone;741;2;3345.15;0;;;140329.89;2;3
1979/10/29;Male;Single;0;Dealer;11729.93;Diploma;24;SME;Email;704;15;47250.04;0;;;86009.87;3;5
1995/09/17;Female;Single;0;Product manager;6247.5;High School;8;SME;Phone;499;25;38754.69;0;;;36614.23;1;0
1959/05/25;Female;Single;3;Surgeon;74642.88;Diploma;15;Retail;Phone;446;24;13188.45;1;Service Issues;2024/01/30;26326.36;2;2
1991/07/28;Female;Married;5;Actor;34694.11;Diploma;13;SME;Email;377;12;12063.2;0;;;203757.91;3;2
1994/05/19;Female;Single;5;Pathologist;31007.5;Bachelor's;7;Retail;Email;826;27;30567.71;0;;;42760.33;5;6
1996/08/26;Male;Single;2;Media planner;82731.2;Bachelor's;6;SME;Phone;582;9;13615.32;0;;;245918.73;4;2
1981/07/06;Male;Married;5;Television/film/video producer;7301.81;High School;26;SME;Email;376;20;42586.11;0;;;146907.9;3;10
1958/02/20;Female;Married;3;Civil Service administrator;21779.55;High School;30;Corporate;Phone;426;25;16448.86;0;;;96160.62;4;1
1962/02/22;Male;Single;5;Civil Service administrator;42594.31;Bachelor's;20;SME;Phone;615;10;15752.94;0;;;49173.22;5;1
